Date,Adj Close
3/1/2013,394.528961
4/1/2013,409.620819
5/1/2013,432.795074
6/1/2013,437.340515
7/1/2013,441.006683
8/1/2013,420.713654
9/1/2013,435.124939
10/1/2013,511.960205
11/1/2013,526.37146
12/1/2013,556.734009
1/1/2014,586.669312
2/1/2014,603.897217
3/1/2014,555.445007
4/1/2014,523.779968
5/1/2014,556.828247
6/1/2014,572.134094
7/1/2014,568.474243
8/1/2014,568.474243
9/1/2014,574.202698
10/1/2014,556.022705
11/1/2014,538.867004
12/1/2014,523.521423
1/1/2015,531.594604
2/1/2015,555.343933
3/1/2015,545.000854
4/1/2015,537.340027
5/1/2015,532.109985
6/1/2015,520.51001
7/1/2015,625.609985
8/1/2015,637.609985
9/1/2015,608.419983
10/1/2015,710.809998
11/1/2015,742.599976
12/1/2015,758.880005
1/1/2016,742.950012
2/1/2016,697.77002
3/1/2016,744.950012
4/1/2016,693.01001
5/1/2016,735.719971
6/1/2016,692.099976
7/1/2016,768.789978
8/1/2016,767.049988
9/1/2016,777.289978
10/1/2016,784.539978
11/1/2016,758.039978
12/1/2016,771.820007
1/1/2017,796.789978
2/1/2017,823.210022
3/1/2017,829.559998
4/1/2017,905.960022
5/1/2017,964.859985
6/1/2017,908.72998
7/1/2017,930.5
8/1/2017,939.330017
9/1/2017,959.109985
10/1/2017,1016.640015
11/1/2017,1021.409973
12/1/2017,1046.400024
1/1/2018,1169.939941
2/1/2018,1111.900024
